reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
1-013,Verte Petite D'Alger,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
2-008,Coriandre Cultivée Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
1-391,Cornichon Amélioré de Bourbonne,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
2-220,Cornichon Fin de Meaux Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-049,Cornichon Hokus Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-110,Cornichon vert petit de Paris,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
4-009,Cosmos 'Double Click Cranberries',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-010,Cosmos 'Double Click Rose Bonbon',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-011,Cosmos 'Double Click Snow Puff',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-012,Cosmos 'Double Click' en mélange,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-028,"Cosmos 'Sensation', mélange varié Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-015,Cosmos en mélange 'Feng Shui',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-260,Courge / Courgette Crookneck (Coutors),,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x
2-248,Courge / Courgette Zapallito del Tronco Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-050,Courge Blue Ballet bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-349,Courge Butterbush,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-052,Courge Buttercup bio,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,
2-054,Courge Butternut Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
2-205,Courge Carat Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-256,Courge de Siam,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,x
2-055,Courge Delicata Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-057,Courge Futsu Black Rinded bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-177,Courge Jack Be Little ,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-059,Courge Jack O'lantern bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-060,Courge Lady Godiva bio,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
1-422,Courge longue de Nice ,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
2-061,Courge longue de Nice Bio,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,
1-093,Courge Makaronowa Warszawska,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-064,Courge Melonnette jaspée de Vendée bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-065,Courge Musquée de Provence Bio,,,,,x,,x,,,,,,,,x,,,,,,,x,,,,x,,,,,x,,,,
2-236,Courge Orangetti F1,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-263,Courge Pink Banana Jumbo ,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,
1-261,Courge Pleine de Naples,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,x
2-069,Courge Pomme d'Or bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-253,Courge Shishigatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
1-374,Courge Small Wonder F1,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
2-070,Courge Spaghetti Bio,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-375,Courge Stripetti F1,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
2-071,Courge Sucrine du Berry Bio,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-072,Courge Sweet Dumpling (Patidou) Bio,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
2-274,Courge Tivano F1 Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-254,Courge Tristar (Triamble),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x
2-075,Courge Tromba d'Albenga bio,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2-211,Courge Violina Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-224,Courgette Amalthée F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-112,Courgette Ambassador F1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-113,Courgette Atena Polka F1,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-115,Courgette Black Beauty,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-256,Courgette Black Beauty Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-407,Courgette Black Forest F1,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,
1-443,Courgette Blanche de Trieste,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,x,,,
1-430,Courgette Butterstick F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-077,Courgette Floridor F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-074,Courgette Genovese Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-226,Courgette Geode F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-116,Courgette Gold Rush F1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-222,Courgette Lingodor (Eq. Parador) F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-369,Courgette Nimba,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-076,Courgette Ortolana di Faenza Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-347,Courgette Pic-N-Pic F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-118,Courgette ronde de Nice,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-078,Courgette ronde de Nice Bio,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
2-235,Courgette Satelite F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-406,Courgette Shooting Star F1,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-108,Courgette Striato d'Italia,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,
1-068,Courgette Strike F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-348,Courgette Sure Thing F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-119,Courgette Verte non coureuse d'Italie,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-080,Courgette Verte non coureuse des Maraà®chers Bio,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-120,Courgette Verte petite d'Alger,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-385,Courgette Wanda,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-049,Courgette White Lebanon,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-204,Courgette Zuboda Bio,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-058,Cresson Alénois Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-121,Echalion Zebrune,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-053,Echalion Zebrune Bio,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,
1-123,Epinard Géant d'hiver,,,,,x,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,x,,,
2-081,Epinard Géant d'hiver Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-192,Epinard Helios F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
1-124,Epinard Lagos F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-122,Epinard Monstrueux de Viroflay,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-125,Epinard Viking Matador,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,x,x,,,
2-066,Epinard Viking Matador Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-014,Estragon de Russie,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-077,Fenouil Belloto F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-286,Fenouil Selma Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-206,Fenouil Victorio F1 Bio,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-127,Fenouil Bronze,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-126,Fenouil Doux de Florence,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,x,,,,
2-089,Fenouil Romanesco Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
3-006,Fève Aderba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
3-001,Fève Aguadulce à  très longue cosse,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-910,Fève Aguadulce BIO,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-916,Fève Eleonora BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-005,Fève extra précoce a grano violetto,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,x,,,
3-007,Fève Irabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
3-003,Fève Karmazyn,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
3-004,Fève Muchamiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-915,Fève Ratio BIO,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-002,Fève Séville à  longue cosse,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
0-555,"Gazon ""Regarnissage""",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-552,"Gazon ""Rustique""",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-553,"Gazon ""Spécial Sud""",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-551,"Gazon ""Standard""",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-554,"Gazon ""Zone ombragée""",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-082,Giraumon Turban Turc bio,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,
3-400,Haricot à  écosser à  rames Alaric (Tarbais) - grimpant,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
2-914,Haricot à  écosser Borlotto Lingua di Fuoco Bio - nain,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-911,Haricot à  écosser Cannellino Bio- nain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
3-401,Haricot à  écosser Coco blanc à  rames - grimpant,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
3-201,Haricot à  écosser Coco Blanc Précoce - nain,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
3-202,Haricot à  écosser Coco Cocagne (type Paimpol) - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-206,Haricot à  écosser Coco Flambo - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-204,Haricot à  écosser Flageolet Flajoly - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-203,Haricot à  écosser Flageolet Verdelys (Eq. Chevrier vert) - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-205,Haricot à  écosser Hidalgo (type Mogette) - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-210,Haricot à  écosser Michelet Longue Cosse - nain,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-211,Haricot à  écosser Pactol (type Paimpol) - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-209,Haricot à  écosser Saint Esprit à  oeil rouge - nain,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-906,Haricot à  écosser Saint Esprit à  oeil rouge Bio - nain,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
3-402,Haricot à  écosser Soissons gros à  rames - grimpant,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-301,Haricot à  rames Carminat - grimpant,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-437,Haricot à  rames Matilda - grimpant,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
3-302,Haricot à  rames Monte Cristo - grimpant,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-300,Haricot à  rames Monte Gusto - grimpant,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-901,Haricot à  rames Phénomène Bio - grimpant,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-233,Haricot à  rames Vespéral Bio - grimpant,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-903,Haricot Aiguillon Bio - nain,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
3-100,Haricot Amethyst - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-101,Haricot Argus - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-102,Haricot Braimar - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-103,Haricot Castandel - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-104,Haricot Contender - nain,x,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
3-115,Haricot Crockett - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-904,Haricot Cupidon Bio - nain,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
3-105,Haricot Delinel - nain,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
3-108,Haricot Dominal - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-112,Haricot Fleuret - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-117,Haricot Fructidor - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-305,Haricot kilomètre 'Metro' - grimpant,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
3-110,Haricot Luminal - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-114,Haricot Majestik - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-907,Haricot Maxi Bio (eq. Speedy) - nain,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
3-113,Haricot Mistik - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-303,Haricot plat à  rames Or du Rhin - grimpant,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-917,Haricot Pongo Bio - nain,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
3-213,Haricot rouge à  écosser Augusta - nain,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
3-208,Haricot rouge à  écosser Canadian Wonder - nain,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
3-212,Haricot rouge à  écosser Red Kidney - nain,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
3-111,Haricot Sansoucy - nain,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-905,Haricot Slenderette Bio - nain,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-920,Haricot Stentor Bio - nain,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
3-107,Haricot Talisman - nain,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
3-116,Haricot Triomphal - nain,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
4-007,Helianthus (tournesol) 'Ms. Mars',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-022,Helianthus (tournesol) 'Sunray Yellow' F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-025,Helianthus (tournesol) 'Sunspot' Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
4-016,Helianthus (tournesol) en mélange 'Azteca',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-055,Helianthus (tournesol) Tiger Eye,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-238,Hysope Bio,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
4-038,"Immortelle à  bractées, en mélange",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-008,Ipomée 'Party Dress',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
0-308,Laitue Adelys - Gr. enrobées,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-132,Laitue Blonde de Paris,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-150,Laitue Brune d'hiver,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,x,,,
2-087,Laitue Cocarde Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-133,Laitue Dorée de printemps,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,
1-128,Laitue du Bon Jardinier,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
0-353,Laitue Eluarde Bio (eq. Belgarde) - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-145,Laitue feuille de chàªne blonde,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-134,Laitue Florine,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-309,Laitue Florinred - Gr. enrobées,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-160,Laitue Gloire de Nantes Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0-302,Laitue Gloire du Dauphiné - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
0-356,Laitue Gotham Bio - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-129,Laitue Gotte Jaune d'Or,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
1-136,Laitue Iceberg Balmoral,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
0-355,Laitue Joviale (eq. Rafale) Bio - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-202,Laitue Kagraner Sommer Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-269,Laitue La Brillante Bio,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-303,Laitue Malorie - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-147,Laitue Merveille d'Hiver,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,
1-131,Laitue Merveille des 4 saisons,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
2-084,Laitue Merveille des 4 saisons Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
0-354,Laitue Parinice Bio - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-088,Laitue Pasquier Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-146,Laitue Red Salad Bowl,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-091,Laitue Red Salad Bowl Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-085,Laitue Reine de Mai Bio,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-137,Laitue Reine des Glaces,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
0-305,Laitue Reine des Glaces - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-142,Laitue Romaine Ballon,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-143,Laitue Romaine Blonde Maraà®chère,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
1-249,Laitue Romaine Craquante d'Avignon,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-144,Laitue Romaine Verte Maraà®chère,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,
1-138,Laitue Rouge Grenobloise,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,,,,,,,
0-306,Laitue Rouge Grenobloise - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-090,Laitue Rougette de Montpellier Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-086,Laitue Saint Antoine Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-140,Laitue Sucrine,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-083,Laitue Sucrine Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-141,Laitue Têtue de Nîmes,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-149,Laitue Val d'Orge,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
0-352,Laitue Vilandry Bio - Gr. enrobées,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-016,Lavande Vraie (officinale),,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
4-051,Lavatère Loveliness Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
3-900,Lentille Castellana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
4-017,Lin 'Charmer Mixture',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-032,Lin à  grande fleur rouge,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
2-262,Lin Bleu Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
4-018,Lupin 'Mini Gallery',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-092,Luzerne cultivée Bio,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
